## Sky Sources names
#
# Stellarium Web Engine - Copyright (c) 2022 - Stellarium Labs SRL
#
# This program is licensed under the terms of the GNU AGPL v3, or
# alternatively under a commercial license.
#
# The terms of the AGPL v3 license can be found in the main directory of this
# repository.
#
# List of all known sky source names, excluding the ones related
# to a specific sky culture. I.e. this is the international names,
# spelled in english. Translations in other languages is done in
# separate documents.
#
# Each line link a common name to its main object ID.
# The format is a list of values separated by a |
# When an object has several names, they are listed each on a separated line
# by order of importance
#
# References for the names are listed in the sources column. Details for all
# references can be found in the common_names_refs.tab
##
### planet ###
# id            |english   |wikipedia_title  |model  |sources|notes                      |
# ------------- | -------- | --------------- | ----- | ----- | ------------------------- |
Barnard 72             |Snake Nebula                        |               |dso   |WK,PSA,DN                                             |     
Barnard 72             |The S Nebula                        |               |dso   |BCH                                                   |     
Barnard 78             |Pipe (bowl)                         |               |dso   |WK                                                    |     
Barnard 86             |Ink Spot Nebula                     |               |dso   |WK,DSW,CC,DN                                          |     
Barnard 87             |Parrot's Head Nebula                |               |dso   |DSW                                                   |     
Barnard 92             |Black Hole Nebula                   |               |dso   |DSNI                                                  |     
Barnard 142            |E Nebula                            |               |dso   |WK,DSW                                                |     
Barnard 142            |Barnard's E Nebula                  |               |dso   |BH                                                    |     
Barnard 142            |Triple Cave Nebula                  |               |dso   |PSA                                                   |     
Barnard 144            |Fish on the platter nebula          |               |dso   |                                                      |     
Barnard 228            |Dark Wolf Nebula                    |               |dso   |APOD5                                                 |     
